Població de 2 anys i més segons coneixement del català
Municipis. 2011
"Font: Idescat, a partir del Cens de població i habitatges de l'INE."
.. Informació no disponible. Vegeu metodologia.

"El Cens 2011 inclou dades provinents d'enquesta. Els resultats han estat convenientment arrodonits i es mostren sense decimals. Per aquesta raó algun total pot no coincidir amb la suma de la seva desagregació per sexe, edat o territori."
 
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=censph&n=17&by=mun
Codi,Literal,L'entén,El sap parlar,El sap llegir,El sap escriure,No l'entén,Població de 2 anys i més
082687,Cercs,1294,1157,1125,719,..,1302,
082665,Cerdanyola del Vallès,53585,40329,43985,30904,2291,55875,
080689,Cervelló,7973,6480,6920,4883,286,8260,
250729,Cervera,8723,7108,7372,5904,472,9195,
250735,Cervià de les Garrigues,749,660,700,458,..,749,
170502,Cervià de Ter,870,812,788,648,..,883,
170519,Cistella,262,253,253,191,..,267,
250740,Ciutadilla,198,189,176,130,..,207,
250753,Clariana de Cardener,137,129,129,118,0,137,
250766,"Cogul, el",189,173,169,117,..,192,
170545,Colera,514,418,427,297,..,536,
250772,Coll de Nargó,587,525,523,382,..,592,
080692,Collbató,4035,3562,3635,2899,98,4133,
430458,Colldejou,176,161,160,130,0,176,
080706,Collsuspina,336,314,301,250,0,336,
170558,Colomers,200,193,195,151,0,200,
251636,"Coma i la Pedra, la",267,253,257,225,0,267,
251615,Conca de Dalt,413,374,381,287,0,413,
430461,Conesa,128,124,125,83,0,128,
430477,Constantí,6093,4156,4718,3002,508,6601,
080713,Copons,328,299,302,246,0,328,
430483,Corbera d'Ebre,1164,1109,1061,742,0,1164,
080728,Corbera de Llobregat,13176,10714,11167,8364,337,13513,
250788,Corbins,1351,1226,1197,906,..,1377,
170577,Corçà,1229,1120,1040,775,..,1264,
080734,Cornellà de Llobregat,76626,48150,56733,36884,7580,84207,
170561,Cornellà del Terri,2170,2037,2017,1609,0,2170,
430496,Cornudella de Montsant,997,895,890,652,0,997,
430509,Creixell,2940,2268,2417,1657,300,3239,
170583,Crespià,233,221,214,169,..,249,
179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",1206,1122,1157,886,..,1223,
080749,Cubelles,13119,9944,10852,7682,713,13833,
250791,Cubells,384,360,332,241,..,395,
430516,Cunit,11376,7883,9049,5506,735,12111,
170600,Darnius,516,453,462,313,..,525,
170617,Das,224,218,215,176,0,224,
439018,Deltebre,11774,10473,9706,6778,..,11863,
080752,Dosrius,4990,4009,4288,3032,..,5019,
430537,Duesaigües,233,216,219,155,..,237,
170622,"Escala, l'",9157,7280,7465,5484,684,9841,
080765,Esparreguera,20762,16390,17041,12425,663,21425,
170638,Espinelves,198,186,187,136,0,198,
250812,"Espluga Calba, l'",415,382,382,264,..,419,
