Població segons lloc de naixement  per comunitats autònomes
Municipis. 2011
"Font: Idescat, a partir del Cens de població i habitatges de l'INE."
"El Cens 2011 inclou dades provinents d'enquesta. Els resultats han estat convenientment arrodonits i es mostren sense decimals. Per aquesta raó algun total pot no coincidir amb la suma de la seva desagregació per sexe, edat o territori."
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=censph&n=12&by=mun
Codi,Literal,Catalunya,Barcelona,Girona,Lleida,Tarragona,Resta Estat,Andalusia,Aragó,Principat d'Astúries,Illes Balears,Canàries,Cantàbria,Castella - la Manxa,Castella i Lleó,Comunitat Valenciana,Extremadura,Galícia,Comunitat de Madrid,Regió de Múrcia,Comunitat Foral de Navarra,País Basc,"Rioja, La",Ceuta i Melilla,Estranger,Total
080207,Begues,5017,4885,31,57,44,925,381,77,10,12,5,7,61,87,62,70,26,53,23,7,28,6,10,546,6488,
170139,Begur,2583,547,2003,17,16,715,478,27,6,2,1,2,39,34,18,37,15,39,9,2,3,0,3,824,4122,
250463,Belianes,500,40,5,447,8,9,4,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,49,558,
251706,Bellaguarda,294,18,0,257,19,20,6,1,0,2,0,2,2,2,1,0,0,1,0,1,1,1,0,22,336,
170182,Bellcaire d'Empordà,510,85,421,2,2,66,34,4,0,1,0,0,5,8,1,9,1,0,0,0,3,0,0,74,650,
250479,Bellcaire d'Urgell,1116,86,2,1023,5,99,43,20,0,0,1,3,4,2,3,7,10,2,3,0,0,0,1,120,1335,
250485,Bell-lloc d'Urgell,1846,109,7,1711,19,215,97,42,3,0,1,0,24,15,5,9,5,3,2,1,2,3,3,355,2417,
250498,Bellmunt d'Urgell,178,27,1,150,0,13,4,1,0,0,0,0,1,2,1,1,1,0,1,0,1,0,0,5,196,
430234,Bellmunt del Priorat,250,44,1,2,203,36,27,2,0,0,0,0,1,0,1,3,0,1,0,0,0,0,1,50,336,
080214,Bellprat,84,77,0,1,6,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,91,
250501,Bellpuig,3543,380,7,3111,45,425,198,58,2,0,0,9,46,23,9,32,9,13,8,7,8,0,3,987,4956,
430249,Bellvei,1437,673,5,11,749,408,238,13,4,1,0,1,22,28,8,44,17,8,11,1,3,4,5,256,2101,
250518,Bellver de Cerdanya,1719,688,158,853,20,254,91,18,1,6,1,0,61,18,10,6,22,7,5,1,5,2,0,286,2258,
250523,Bellvís,1828,101,4,1717,6,98,34,34,2,0,0,2,2,4,6,2,2,3,2,3,2,0,0,481,2407,
250539,Benavent de Segrià,1253,78,6,1158,11,151,45,28,1,1,3,0,12,13,4,13,7,3,4,2,7,1,7,128,1532,
430252,Benifallet,695,48,2,0,645,22,6,5,0,0,1,0,2,2,4,0,2,0,0,0,0,0,0,53,770,
430265,Benissanet,863,97,1,4,761,61,22,10,1,0,0,1,5,3,5,4,6,2,2,0,0,0,0,307,1231,
080229,Berga,12354,11768,114,428,45,2007,968,88,42,11,16,9,139,140,75,305,80,51,37,11,20,4,11,2474,16835,
170195,Besalú,1910,210,1679,14,7,222,97,9,0,3,1,0,32,6,18,23,12,13,1,2,4,0,1,285,2417,
170209,Bescanó,3999,306,3663,17,13,386,233,10,4,1,3,2,15,33,10,19,16,19,6,1,10,2,2,284,4669,
170216,Beuda,124,38,85,0,1,9,5,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,30,163,
080235,Bigues i Riells,6837,6691,48,66,32,1484,760,83,18,16,3,7,113,97,45,130,83,51,46,5,11,7,9,482,8803,
250557,Biosca,187,29,0,158,0,17,7,2,0,0,1,0,0,2,0,1,3,0,1,0,0,0,0,9,213,
170221,"Bisbal d'Empordà, la",6948,699,6182,42,25,1393,908,41,9,9,1,8,56,66,30,138,34,20,48,3,10,3,9,2217,10559,
430271,"Bisbal de Falset, la",196,17,0,6,173,10,4,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,19,225,
430287,"Bisbal del Penedès, la",2454,1348,10,30,1066,750,388,35,17,4,3,2,52,39,30,67,53,18,23,4,9,0,6,229,3433,
172348,Biure,181,20,157,3,1,27,13,1,0,0,0,1,1,3,2,3,0,1,0,0,0,2,0,41,249,
430290,Blancafort,356,66,2,19,269,22,9,1,0,0,0,0,1,0,5,3,1,1,0,0,1,0,0,36,413,
170237,Blanes,23250,7536,15366,202,145,8632,4606,380,53,64,37,23,782,593,239,972,272,211,147,36,97,37,81,7428,39309,
170293,Boadella i les Escaules,198,37,160,0,1,21,13,0,0,0,0,0,0,2,0,5,0,0,1,0,0,0,0,33,253,
170242,Bolvir,333,162,134,33,3,27,7,0,0,2,0,0,1,1,2,4,7,2,1,0,0,0,0,43,403,
430304,Bonastre,438,230,3,8,197,89,52,3,3,0,1,0,4,6,5,3,2,0,5,0,5,0,0,109,636,
250576,"Bòrdes, Es",189,48,0,134,7,29,6,3,2,0,0,0,3,1,0,1,4,7,0,0,2,0,0,18,236,
170255,Bordils,1270,98,1164,6,2,144,79,8,2,0,0,1,9,5,4,19,3,10,1,0,3,0,0,302,1716,
250582,"Borges Blanques, les",4680,541,22,4002,115,550,278,81,6,6,1,5,26,47,25,26,7,20,11,2,7,0,2,804,6034,
430311,"Borges del Camp, les",1612,129,1,17,1465,268,116,30,3,3,2,0,15,9,10,52,5,10,7,1,4,1,0,243,2123,
170268,Borrassà,591,39,548,1,3,65,35,1,1,0,0,1,1,5,5,8,5,1,0,0,1,0,1,52,708,
080240,Borredà,445,408,29,3,5,33,20,2,1,0,0,0,1,2,3,0,1,2,1,0,0,0,0,106,584,
250595,Bossòst,647,81,5,548,13,239,57,40,4,2,0,4,16,21,10,9,50,8,6,0,11,0,1,269,1154,
430326,Bot,609,33,0,1,575,29,10,10,0,0,0,0,0,1,4,0,2,0,2,0,0,0,0,44,682,
430332,Botarell,828,129,6,16,677,144,66,17,4,3,3,1,6,4,9,11,7,3,3,0,5,1,1,144,1116,
250560,Bovera,290,15,0,265,10,10,3,2,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,17,317,
430347,Bràfim,497,82,0,3,412,77,42,7,0,2,0,0,1,2,5,6,4,4,3,1,0,0,0,99,672,
170274,Breda,2925,919,1980,6,20,491,158,11,2,3,1,1,26,29,12,195,9,4,31,2,4,1,2,345,3761,
080253,"Bruc, el",1589,1552,4,17,16,252,100,19,1,7,3,1,23,20,15,16,21,10,5,1,7,1,2,171,2012,
080266,"Brull, el",231,224,3,2,2,9,1,2,0,2,0,0,1,1,0,0,2,0,0,0,0,0,0,18,258,
170280,Brunyola,368,41,325,1,1,17,4,3,0,0,0,0,0,0,3,3,1,3,0,0,0,0,0,15,400,
430350,Cabacés,291,35,1,0,255,27,9,4,0,0,0,0,3,1,5,2,2,1,0,0,0,0,0,21,338,
250609,Cabanabona,88,11,0,77,0,9,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,100,
170314,Cabanelles,169,45,120,1,3,20,10,2,0,0,0,0,2,1,0,0,1,1,0,1,1,0,1,48,237,
170307,Cabanes,643,59,582,2,0,131,94,4,1,2,4,0,2,4,2,5,6,2,2,0,0,2,0,152,925,
080272,"Cabanyes, les",797,770,4,6,17,97,42,8,0,1,0,0,7,8,5,15,2,4,0,1,1,1,2,54,948,
250616,Cabó,82,4,1,77,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,94,
430363,Cabra del Camp,827,373,4,9,441,211,115,5,0,0,3,0,12,19,9,22,8,4,5,1,5,0,3,113,1151,
080288,Cabrera d'Anoia,979,955,6,12,6,297,156,16,2,3,0,0,22,18,13,23,13,6,14,2,4,0,5,104,1381,
080291,Cabrera de Mar,3643,3560,33,26,24,539,152,48,8,10,6,6,42,49,36,42,32,46,26,4,18,10,4,339,4520,
080305,Cabrils,5641,5494,43,56,48,681,188,67,13,17,8,14,42,51,39,36,40,70,48,5,21,11,11,790,7112,
170329,Cadaqués,1556,369,1175,8,5,360,197,28,3,0,3,2,12,27,14,23,7,23,1,2,6,2,9,927,2843,
080312,Calaf,2344,2055,9,257,23,404,208,26,3,1,0,0,54,22,17,26,1,9,28,3,1,2,3,749,3497,
430379,Calafell,14297,9339,70,249,4639,5318,2455,340,88,27,24,27,371,440,212,478,262,233,158,46,76,23,58,4818,24432,
080348,Calders,832,813,4,15,0,93,50,4,1,4,0,0,9,4,2,9,5,1,1,1,2,0,0,31,956,
080327,Caldes d'Estrac,1867,1798,25,23,21,393,144,35,2,5,0,3,25,38,26,20,22,21,33,6,4,6,3,483,2742,
170335,Caldes de Malavella,5261,1733,3455,28,45,1202,627,51,7,9,7,9,73,95,29,112,49,54,54,6,5,6,8,613,7075,
080333,Caldes de Montbui,11934,11627,112,128,68,3134,1611,151,17,16,13,22,316,203,145,275,91,65,132,17,38,5,18,2124,17192,
080351,Calella,11257,10661,439,92,65,3013,1354,155,35,41,28,15,197,263,92,407,120,108,83,17,38,14,46,4123,18393,
080370,Calldetenes,2054,1981,54,11,8,185,116,8,2,4,1,1,8,10,7,11,8,2,5,0,1,1,0,191,2430,
080386,Callús,1485,1416,12,54,3,230,168,11,1,3,1,1,13,9,8,7,1,2,0,0,3,0,2,203,1918,
170340,Calonge,6474,1764,4594,72,44,1549,855,52,18,18,8,10,73,108,63,110,82,42,41,8,41,5,15,2695,10718,
080364,Calonge de Segarra,194,173,0,21,0,4,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,203,
250621,Camarasa,811,144,0,661,6,70,27,8,0,2,2,1,9,4,2,6,0,3,2,1,1,0,2,54,935,
439039,Camarles,2720,158,2,3,2557,125,41,21,1,1,1,0,7,7,19,7,9,6,3,1,1,0,0,675,3521,
430385,Cambrils,18136,2982,119,898,14137,7359,2650,868,168,58,41,68,423,654,382,620,258,403,199,101,368,43,55,7675,33169,
170353,Camós,621,35,585,1,0,34,18,1,0,0,0,0,2,2,2,5,1,1,0,0,2,0,0,27,682,
170366,Campdevànol,2761,595,2138,21,7,545,341,6,2,2,4,4,29,15,8,97,9,9,12,2,3,1,1,151,3457,
170372,Campelles,112,38,74,0,0,8,2,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,15,135,
080399,Campins,409,384,15,9,1,30,13,2,1,0,0,0,2,2,4,3,3,0,0,0,0,0,0,49,488,
170388,Campllong,450,54,394,1,1,25,17,0,0,0,0,0,2,1,1,1,0,1,0,0,2,0,0,43,519,
170391,Camprodon,1890,545,1335,4,6,236,135,9,2,4,1,5,6,17,14,12,11,5,1,1,7,6,0,301,2427,
250637,Canejan,97,14,0,82,1,10,0,2,0,0,0,0,2,0,4,0,0,1,0,0,1,0,0,4,111,
170405,Canet d'Adri,547,64,475,3,5,41,11,4,0,6,0,0,2,4,2,2,7,3,0,0,0,0,0,30,618,
080403,Canet de Mar,10201,9828,218,93,62,2354,1206,132,23,17,27,10,151,187,91,191,84,54,92,12,50,7,21,1598,14153,
439076,"Canonja, la",3685,178,9,49,3449,1477,1043,54,16,8,7,2,57,67,32,92,24,33,14,4,11,1,12,546,5708,
080410,Canovelles,8143,7835,173,88,47,4174,2195,81,19,6,8,14,135,159,44,1246,81,52,53,5,39,4,33,3609,15926,
080425,Cànoves i Samalús,2059,2017,24,11,7,619,320,27,9,1,2,5,38,36,24,62,45,22,19,1,5,0,3,175,2852,
170412,Cantallops,235,30,204,0,0,31,20,1,0,0,0,0,1,3,1,2,1,1,0,0,1,0,0,58,324,
080431,Canyelles,3047,2971,10,14,52,832,399,30,10,3,5,4,72,55,38,96,32,29,31,3,12,2,11,365,4245,
430398,Capafonts,110,8,0,2,100,10,3,1,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,3,123,
430402,Capçanes,385,47,0,0,338,15,5,4,0,0,0,0,1,2,1,0,0,0,1,0,1,0,0,22,422,
080446,Capellades,3932,3823,16,51,42,1084,697,49,10,2,2,3,66,37,39,100,28,14,17,6,6,5,3,432,5448,
170427,Capmany,427,79,344,2,1,65,35,3,0,3,1,0,5,0,4,2,4,4,2,0,0,0,2,127,619,
080459,Capolat,87,83,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,91,
080462,Cardedeu,12894,12466,218,126,84,2716,1257,173,29,36,17,6,134,173,78,411,158,82,65,14,50,9,25,1726,17336,
080478,Cardona,4119,3804,16,282,17,637,451,15,12,7,2,1,30,17,9,30,11,13,31,4,3,0,1,301,5057,
080484,Carme,647,633,0,8,6,84,43,4,3,1,2,0,5,7,5,7,0,3,2,0,1,1,0,121,852,
430419,Caseres,230,25,0,0,205,31,2,20,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,18,278,
170448,Cassà de la Selva,7198,635,6506,43,14,978,564,37,7,12,11,4,42,61,38,82,56,31,12,3,8,5,5,1665,9842,
080497,Casserres,1422,1343,8,69,2,82,35,1,1,2,0,0,12,9,5,4,3,3,2,1,1,0,3,78,1582,
080575,Castell de l'Areny,67,63,3,0,1,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,74,
259046,Castell de Mur,160,37,0,120,3,10,2,1,0,0,0,1,0,1,1,0,3,0,0,0,0,0,1,6,176,
250642,Castellar de la Ribera,158,24,0,133,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,159,
