Població de 16 anys i més segons nivell d'instrucció
Municipis. 2011
"Font: Idescat, a partir del Cens de població i habitatges de l'INE."
.. Informació no disponible. Vegeu metodologia.

"El Cens 2011 inclou dades provinents d'enquesta. Els resultats han estat convenientment arrodonits i es mostren sense decimals. Per aquesta raó algun total pot no coincidir amb la suma de la seva desagregació per sexe, edat o territori."
 
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=censph&n=15&by=mun
Codi,Literal,No sap llegir o escriure,Sense estudis,Educació primària,ESO,Batxillerat superior,FP grau mitjà,FP grau superior,Diplomatura,Grau universitari,Llicenciatura i doctorat,Total
430640,Gandesa,..,195,458,862,333,377,102,..,..,148,2578,
080885,"Garriga, la",..,991,1261,3357,1967,843,989,978,365,1584,12429,
080898,Gavà,596,3171,4121,10775,5327,3026,3311,2855,976,3725,37882,
080919,Gelida,..,415,558,1434,704,538,549,419,..,703,5440,
259123,Gimenells i el Pla de la Font,..,126,181,353,67,67,46,56,..,..,970,
170792,Girona,962,4470,8419,21413,12118,4562,4689,7334,2098,12296,78360,
080924,Gironella,137,358,763,1531,401,330,289,215,..,212,4305,
250997,Golmés,..,57,185,571,141,121,121,61,..,145,1433,
080945,"Granada, la",..,108,204,651,159,166,88,100,..,99,1639,
080961,Granollers,437,4283,6204,14605,7845,3582,3891,2740,702,4913,49202,
080977,Gualba,..,69,118,277,140,96,141,119,..,82,1069,
251109,Guissona,119,212,505,1964,1019,511,321,301,..,261,5310,
081000,Gurb,..,97,179,555,369,153,187,181,..,284,2061,
430712,Horta de Sant Joan,..,208,196,409,101,57,..,40,..,58,1111,
081017,"Hospitalet de Llobregat, l'",4810,25920,35590,61284,30388,14687,15705,10958,4019,15041,218401,
081629,"Hostalets de Pierola, els",..,173,277,793,327,156,225,104,..,197,2265,
170834,Hostalric,..,366,542,1239,322,295,253,106,..,125,3339,
081022,Igualada,719,2313,3965,8999,4566,2221,2564,2849,668,2869,31733,
251155,Isona i Conca Dellà,..,104,199,311,74,78,79,58,..,..,968,
251137,Ivars d'Urgell,..,171,328,382,94,112,55,..,..,148,1413,
170865,"Jonquera, la",..,193,483,986,394,263,93,..,..,95,2616,
251193,Juneda,..,186,482,1134,299,211,191,151,..,127,2856,
251214,Les,..,..,135,188,215,..,..,..,..,72,847,
251229,Linyola,..,138,438,705,255,196,156,130,..,112,2215,
081056,"Llagosta, la",309,1275,1445,4319,1319,944,744,337,..,426,11215,
170890,Llagostera,161,527,1147,2371,907,453,444,222,..,369,6656,
170926,Llançà,..,295,835,1475,615,185,157,275,..,334,4278,
251207,Lleida,1781,7604,14949,33455,15503,8362,7651,9495,2222,12490,113512,
170932,Llers,..,54,163,414,131,56,45,..,..,56,997,
081075,Lliçà d'Amunt,176,1161,1191,4018,1466,1094,1120,649,144,577,11597,
081081,Lliçà de Vall,142,465,566,1758,602,451,500,268,102,244,5099,
081069,Llinars del Vallès,179,538,1207,2221,808,532,598,422,305,778,7589,
170947,Llívia,..,..,267,466,193,..,99,99,..,166,1428,
430748,Llorenç del Penedès,..,150,316,565,211,157,159,72,..,133,1806,
170950,Lloret de Mar,327,2313,4128,9757,7682,2124,1828,1684,953,1948,32744,
171030,Maçanet de la Selva,130,441,885,2332,614,329,393,252,..,339,5827,
081108,Malgrat de Mar,304,1338,2319,5710,1676,1172,701,760,261,935,15176,
081120,Manlleu,451,2035,2513,5558,1699,1109,1066,727,197,709,16062,
081136,Manresa,1067,5430,10320,18051,8291,4800,4191,4739,678,5650,63215,
081141,Martorell,434,1991,3369,6636,3111,1734,2078,967,267,1400,21987,
081154,Martorelles,..,419,595,1265,501,373,476,242,..,105,4125,
430786,Masdenverge,..,123,168,287,151,43,62,32,..,76,969,
081173,"Masies de Voltregà, les",..,265,275,1068,210,192,211,136,..,165,2582,
081189,"Masnou, el",205,1351,1875,4584,3051,1082,1230,1882,580,2812,18653,
081192,Masquefa,..,444,909,2574,651,656,654,229,..,318,6566,
081206,Matadepera,..,93,555,1126,1375,393,380,849,343,1659,6790,
081213,Mataró,2978,11044,14341,32744,10835,6500,7080,6054,1689,7986,101252,
081228,Mediona,..,86,263,764,199,107,156,79,..,112,1782,
251351,Miralcamp,..,91,215,464,111,86,63,81,..,79,1209,
081385,Moià,..,385,565,1374,516,374,387,349,..,465,4563,
081234,Molins de Rei,402,1472,1778,5787,2832,1319,2162,1550,332,2455,20089,
